,NY.GDP.MKTP.CD,NY.GDP.PCAP.PP.CD,NY.GDP.MKTP.KD.ZG,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,BX.KLT.DINV.CD.WD,FR.INR.RINR,NY.GDP.DEFL.KD.ZG,GC.DOD.TOTL.GD.ZS,FP.CPI.TOTL,NE.CON.PRVT.ZS,NE.GDI.TOTL.ZS,FM.LBL.MQMY.GD.ZS,GC.REV.XGRT.GD.ZS,NE.TRD.GNFS.ZS,SP.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.XPD.TOTL.GD.ZS,SE.ADT.LITR.ZS,SH.XPD.CHEX.GD.ZS,SH.DYN.MORT,SH.DYN.NMRT,SH.STA.MMRT,EG.ELC.ACCS.ZS,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.BRTC.ZS,SH.HIV.INCD.TL.P3,SH.STA.SMSS.ZS,SH.STA.SSMS.ZS,AG.LND.FRST.ZS,EN.ATM.CO2E.PC,EN.POP.SLUM.UR.ZS,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,EN.ATM.PM25.MC.M3,EN.CLC.MDAT.ZS,ER.H2O.INTR.PC,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,AG.LND.TOTL.K2,AG.PRD.CROP.XD,AG.PRD.FOOD.XD,AG.YLD.CREL.KG,AG.SRF.TOTL.K2,IQ.CPA.TRAN.XQ,IQ.CPA.GOVE.XQ,IQ.CPA.PROP.XQ,IQ.CPA.REG.XQ,IQ.CPA.POLS.XQ,IQ.CPA.VACR.XQ,IC.BUS.EASE.XQ,GC.TAX.TOTL.GD.ZS,SL.UEM.TOTL.ZS,IC.REG.DURS,SE.TER.CUAT.BA.ZS,SE.PRM.CMPT.ZS,SG.GEN.PARL.ZS,IT.CEL.SETS.P2,IS.ROD.DNST.K2,EG.IMP.CONS.ZS,EG.USE.ELEC.KH.PC,IT.MLT.MAIN.P2,IS.AIR.PSGR,IS.AIR.GOOD.MT.K1,IS.RRS.GOOD.MT.K1,IS.RRS.PASG.KM,IS.VEH.NVEH.P3,SI.POV.GINI,SI.POV.DDAY,SI.POV.NAHC,SI.DST.05TH.20,SI.DST.10TH.10,SI.POV.UMIC,SI.POV.LMIC,SI.POV.RUHC,SI.POV.URHC
AF,17233051620.1117,2211.28063454007,2.71088679128353,16.7751362822863,50.498206993764,,,2.9616535410169,,,97.3815357619115,15.2,,,67.2733432760503,41454761,2.13559384981397,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,1.0,,1.5,,,,,,14.386,,,,,,,,,0.439,,,,,,,,,,,,,,
AL,23547179830.4413,21925.6083767592,3.93662525742167,38.6650817896799,43.8286028086077,1620982550.5431,0.269282388635442,6.06604947510885,,138.021863913783,70.2063374572408,22.9107180604133,,,82.4936845982876,2745972,-1.14841763771287,,,,,,,,,83.1356,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.584,,,95.1351470947266,35.7142857142857,,,,,6.16,,,,,,,,,,,,,,
DZ,247626161016.414,16824.4879032987,4.10000000000004,23.6195363708424,20.0633778247296,1215776626.75897,7.08459692081617,0.854841037372282,,198.550857618244,40.7909486648895,37.724946210066,,,43.682914195572,46164219,1.49897601193923,,5.61015701293945,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.814,,,99.678840637207,7.86240786240786,,,,,13.7,,,,,,,,,,,,,,
AD,3785067331.7625,71730.6686821645,2.58355480961319,,,,,6.29560082401824,,,,,,,,80856,1.43374756867515,,1.92790997028351,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3333282470703,50.0,,,,,63.9,,,,,,,,,,,,,,
AO,84824654481.7249,8040.70244971812,1.00128936028298,40.8567793904075,26.1849092185214,-2119632185.51477,-0.59401372733354,17.6195377226942,,804.965533144132,56.3600178190649,23.7932500575225,,,67.0416886089289,36749906,3.08065530722915,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62,,,,33.6363636363636,,,,,0.236,,,,,,,,,,,,,,
AG,2033085185.18518,32149.1403648823,3.86201218730389,,,300597732.222222,1.8066629756626,4.80547577274675,,133.943906030246,,,,,,93316,0.511400156215609,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55555555555556,,,,,,,,,,,,,,,,,,,
AR,646075277525.125,30082.3045247323,-1.61100162090189,12.7492457826544,13.8912663507893,23866141439.654,-16.7714229097284,135.368876310592,,,65.9491811031337,19.3715390134256,,,26.6405121334437,45538401,0.286976121920089,,,,,,,,,89.229,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.178,,,,43.1906614785992,,,,,15.4,,,,,,,,,,,,,,
AM,24085749592.3359,21342.5145334886,8.29999999959539,59.4520856749187,60.2625572889532,580365078.650983,9.45938580104027,2.67300354889213,,155.258355482585,65.3685190425439,21.2953732476126,,,119.714642963872,2990900,0.728178919340382,,0.242599993944168,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.586,,,92.5063171386719,35.5140186915888,,,,,11.2,,,,,,,,,,,,,,
AW,3648573136.15155,44967.3445127078,4.26371941452948,88.3437864283018,81.4544965060421,91445330.0,-0.852277920562397,6.70946117676064,,,52.0872345412259,21.4610020896194,,,169.798282934344,107359,0.0456516784920034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,1728057316695.61,69231.3103595531,3.44199220009025,26.7992411333458,22.4259429260923,32501414006.7699,,6.51199894950456,,139.880332986472,50.3387908844084,23.9740168793693,,,49.2251840594381,26658948,2.4474661688131,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.667,,35.764835357666,,38.4105960264901,,,,,24.4,,,,,,,,,,,,,,
