Country,NY.GDP.MKTP.CD,SP.POP.TOTL,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,SL.UEM.TOTL.ZS,FP.CPI.TOTL.ZG,SI.POV.DDAY,SI.POV.GINI,SH.DYN.MORT,SH.XPD.TOTL.ZS,SE.XPD.TOTL.GD.ZS,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,AG.LND.TOTL.K2,EN.ATM.PM25.MC.M3,EG.USE.PCAP.KG.OE,TX.VAL.TOTL.GD.ZS,GC.TAX.TOTL.GD.ZS,FI.RES.TOTL.M3,SL.TLF.TOTL.IN,GI.TAX.TOTL.ZS,ST.INT.ARVL,NY.GDP.TOTL.ZS,SH.STA.MMRT,SP.DYN.LE00.IN,SP.DYN.IMRT.IN,CC.EST,PV.EST,RL.EST,IT.NET.SECR.P6,IE.PPI.WATR.CD,IP.PAT.RESD,GB.XPD.RSDV.GD.ZS,IP.PAT.NRES,VA.EST,SM.POP.NETM,MS.MIL.XPND.ZS,Row_Avg
AF,17233051620.1117,41454761,415.707417059086,2211.28063454007,14.386,,,,,,,,16.7751362822863,50.498206993764,,,,,,,8696346.0,,,,,,,-1.15493178367615,-2.48408055305481,-1.64964091777802,43.758544404586,,,,,-1.85290133953094,-48958,,-0.6778110826085193
AL,23547179830.4413,2745972,8575.17113446213,21925.6083767592,11.584,4.75976421930107,,,,,,83.1356,38.6650817896799,43.8286028086077,,,,,,,1370812.0,,,,,,,-0.332218527793884,0.183348968625069,-0.164097368717194,1220.33290943972,,,,,0.168997228145599,-25357,,-0.1403384048961178
DZ,247626161016.414,46164219,5364.02795022731,16824.4879032987,11.814,9.32217375928322,,,,,5.61015701293945,,23.6195363708424,20.0633778247296,,,,,,,13552062.0,,,,,,,-0.589308321475983,-0.577885270118713,-0.678364396095276,100.294126063305,,,,,-0.979883790016174,-25963,,-0.28736482148523607
AD,3785067331.7625,80856,46812.4484486309,71730.6686821645,,,,,,,1.92790997028351,,,,,,,,,,,,,,,,,1.25135612487793,1.58346593379974,1.47689890861511,14618.5811813595,,,,,0.996939778327942,1061,,0.5812621430180934
AO,84824654481.7249,36749906,2308.15976731274,8040.70244971812,14.62,13.6441017767715,,,,,,,40.8567793904075,26.1849092185214,,,,,,,15315118.0,,,,,,,-0.60992020368576,-0.34150505065918,-1.09906601905823,40.2177899448233,,,,,-0.737252414226532,-995,,-0.26182262604657813
AG,2033085185.18518,93316,21787.1017315914,32149.1403648823,,5.06713865364213,,,,,,,,,,,,,,,,,,,,,,0.326792687177658,0.923393249511719,0.378593176603317,803.720690985469,,,,,0.741840481758118,0,,0.13672346226074297
AR,646075277525.125,45538401,14187.4827252965,30082.3045247323,6.178,,,,,,,89.229,12.7492457826544,13.8912663507893,,,,,,,21532713.0,,,,,,,-0.360883951187134,-0.127517908811569,-0.410826534032822,5451.20150353984,,,,,0.533921837806702,4133,,-0.19289167093654794
AM,24085749592.3359,2990900,8053.01066312345,21342.5145334886,8.586,1.98041877615554,,,,,0.242599993944168,,59.4520856749187,60.2625572889532,,,,,,,1474953.0,,,,,,,0.0583996474742889,-0.829278230667114,-0.122017979621887,1166.53850011702,,,,,0.0767075568437576,75000,,-0.23241992776829798
AW,3648573136.15155,107359,33984.7906198041,44967.3445127078,,,,,,,,,88.3437864283018,81.4544965060421,,,,,,,,,,,,,,0.709075331687927,1.43252456188202,1.27020680904388,1397.18141935003,,,,,1.0191752910614,147,,0.6084014702556512
AU,1728057316695.61,26658948,64820.9117890026,69231.3103595531,3.667,5.5970149253731,,,,,,,26.7992411333458,22.4259429260923,,,,,,,14503566.0,,,,,,,1.78120493888855,0.91705721616745,1.52318394184113,47567.6309507787,,,,,1.50660192966461,140232,,0.5389241593931318
